Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Employers in small orgs agriculture,*,95.3%,*,*,*,"26,100","27,400"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Employers in small orgs non-professional,29.2%,91.0%,61.9%,"2,500","8,600","319,500","351,000"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Full-time students,20.0%,28.5%,8.5%,"29,400","147,100","891,200","3,127,800"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher managerial occupations,70.2%,90.3%,20.0%,"14,200","20,200","896,600","993,500"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher professional new employee,83.6%,92.0%,8.5%,"15,400","18,500","1,095,300","1,190,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher professional new self emp,*,90.5%,*,*,*,"72,500","80,000"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher professional traditional employee,83.3%,91.8%,8.5%,"29,700","35,600","1,397,400","1,521,800"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher professional traditional self emp,87.6%,93.8%,6.2%,"5,000","5,800","282,600","301,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Higher supervisory occupations,76.0%,86.4%,10.4%,"28,400","37,400","888,700","1,028,400"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Intermediate clerical and administrative,67.8%,82.6%,14.8%,"65,800","97,100","1,784,400","2,159,600"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Intermediate engineering,*,90.2%,*,*,*,"113,400","125,800"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Intermediate sales and service,62.7%,85.2%,22.5%,"31,400","50,000","1,002,600","1,176,800"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Intermediate technical and auxiliary,61.9%,86.1%,24.2%,"11,900","19,100","340,600","395,600"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Long-term unemployed,2.8%,2.1%,-0.7%,"1,900","67,900","11,400","540,900"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower managerial occupations,67.0%,89.7%,22.7%,"29,600","44,200","1,309,300","1,459,300"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower professional new employee,*,90.5%,*,*,*,"514,400","568,300"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower professional new self emp,*,94.0%,*,*,*,"95,000","101,000"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower professional traditional employee,67.3%,88.5%,21.2%,"89,200","132,600","3,469,700","3,922,400"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower professional traditional self emp,74.7%,90.9%,16.1%,"8,700","11,700","399,300","439,500"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower supervisory occupations,48.8%,83.8%,35.0%,"31,900","65,400","1,011,800","1,207,400"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower technical craft,52.1%,88.5%,36.4%,"14,300","27,400","706,500","798,600"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Lower technical process operative,*,86.8%,*,*,*,"112,200","129,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Never worked,2.6%,2.1%,-0.5%,"6,500","247,100","24,500","1,157,500"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Not classifiable for other reasons,0.3%,1.7%,1.3%,"1,700","536,100","28,200","1,703,300"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Not classified or inadequately stated,6.0%,21.5%,15.6%,"2,700","45,500","47,100","218,900"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Own account workers agriculture,*,96.2%,*,*,*,"76,100","79,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Own account workers non professional,68.5%,89.4%,20.9%,"63,600","92,700","1,936,000","2,165,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Routine agricultural,*,67.1%,*,*,*,"21,000","31,300"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Routine operative,33.5%,72.7%,39.2%,"32,500","96,900","837,500","1,152,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Routine production,39.4%,70.9%,31.5%,"9,800","24,900","210,300","296,600"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Routine sales and service,46.4%,70.9%,24.5%,"19,700","42,400","396,700","559,100"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Routine technical,39.4%,82.9%,43.5%,"17,200","43,600","661,600","798,300"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine agricultural,*,70.7%,*,*,*,"30,800","43,600"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine childcare,65.0%,81.0%,16.0%,"4,500","6,900","106,800","131,800"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine clerical,56.6%,79.9%,23.3%,"10,400","18,400","257,400","322,200"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine operative,43.3%,82.2%,38.9%,"6,600","15,200","298,700","363,400"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine sales,48.2%,74.7%,26.5%,"44,800","93,100","889,500","1,191,100"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine services,51.7%,78.3%,26.6%,"68,500","132,500","1,246,300","1,591,900"
2013,1,1/1/2013 to 31/3/2013,NS-SEC Category,Semi routine technical,34.3%,87.0%,52.8%,"5,800","16,800","258,300","296,700"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Employers in large organisations,*,95.6%,*,*,*,"37,300","39,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Employers in small orgs agriculture,*,96.4%,*,*,*,"33,300","34,500"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Employers in small orgs non-professional,37.9%,91.1%,53.2%,"3,900","10,300","324,200","356,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Full-time students,20.5%,29.9%,9.4%,"30,900","150,800","870,900","2,916,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher managerial occupations,67.3%,88.9%,21.6%,"13,600","20,100","869,600","978,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher professional new employee,74.7%,92.0%,17.3%,"21,700","29,100","1,096,800","1,192,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher professional new self emp,*,87.5%,*,*,*,"69,800","79,800"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher professional traditional employee,80.0%,91.5%,11.5%,"22,400","28,000","1,364,300","1,491,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher professional traditional self emp,67.9%,92.6%,24.7%,"4,800","7,000","279,600","301,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Higher supervisory occupations,64.4%,87.1%,22.8%,"26,000","40,300","928,200","1,065,200"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Intermediate clerical and administrative,65.3%,81.9%,16.7%,"67,200","103,000","1,772,400","2,163,300"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Intermediate engineering,78.2%,92.0%,13.9%,"2,200","2,900","104,500","113,600"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Intermediate sales and service,55.7%,85.2%,29.4%,"30,000","53,900","1,047,200","1,229,600"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Intermediate technical and auxiliary,69.4%,86.4%,17.0%,"11,000","15,900","344,200","398,600"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Long-term unemployed,6.3%,2.4%,-3.8%,"3,900","62,700","12,500","512,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower managerial occupations,62.4%,89.7%,27.3%,"28,800","46,100","1,272,400","1,418,400"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower professional new employee,83.6%,90.5%,7.0%,"11,300","13,500","534,900","591,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower professional new self emp,*,89.3%,*,*,*,"95,200","106,600"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower professional traditional employee,66.6%,87.7%,21.2%,"89,000","133,600","3,457,200","3,940,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower professional traditional self emp,70.7%,90.7%,20.0%,"11,500","16,300","420,000","463,200"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower supervisory occupations,51.5%,83.7%,32.2%,"32,900","63,900","1,011,600","1,208,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower technical craft,50.2%,88.0%,37.9%,"15,300","30,600","709,700","806,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Lower technical process operative,66.7%,87.2%,20.5%,"3,900","5,900","109,400","125,500"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Never worked,1.7%,1.6%,-0.1%,"4,200","250,300","18,600","1,171,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Not classifiable for other reasons,0.9%,2.0%,1.1%,"4,400","523,000","34,300","1,731,200"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Not classified or inadequately stated,23.7%,55.9%,32.2%,"4,900","20,800","67,500","120,700"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Own account workers agriculture,77.6%,94.4%,16.8%,"1,700","2,200","73,300","77,600"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Own account workers non professional,69.1%,90.6%,21.4%,"63,600","92,000","1,954,300","2,157,800"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Routine agricultural,*,71.0%,*,*,*,"25,400","35,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Routine operative,43.3%,76.1%,32.8%,"42,400","97,900","886,900","1,166,000"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Routine production,51.8%,72.5%,20.8%,"14,400","27,800","240,000","330,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Routine sales and service,50.4%,71.0%,20.6%,"25,200","50,000","414,100","583,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Routine technical,30.5%,83.5%,52.9%,"13,800","45,200","675,200","808,900"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine agricultural,*,80.9%,*,*,*,"33,400","41,200"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine childcare,48.8%,80.5%,31.7%,"3,700","7,500","115,000","142,800"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine clerical,52.7%,80.5%,27.7%,"7,900","15,000","268,100","333,300"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine operative,31.6%,80.8%,49.2%,"6,200","19,600","297,400","368,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine sales,48.1%,75.7%,27.6%,"44,700","93,000","965,900","1,276,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine services,50.0%,78.8%,28.8%,"64,900","129,900","1,260,000","1,600,100"
2012,4,1/10/2012 to 31/12/2012,NS-SEC Category,Semi routine technical,35.2%,85.8%,50.5%,"7,100","20,100","249,500","290,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Employers in large organisations,*,93.8%,*,*,*,"34,600","36,900"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Employers in small orgs agriculture,*,100.0%,*,*,*,"31,200","31,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Employers in small orgs non-professional,22.6%,89.6%,67.0%,"3,200","14,000","328,300","366,400"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Full-time students,17.5%,32.9%,15.4%,"20,900","119,400","896,700","2,724,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher managerial occupations,68.6%,89.5%,20.9%,"12,100","17,700","899,100","1,004,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher professional new employee,79.8%,91.9%,12.1%,"19,300","24,100","1,079,600","1,174,600"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher professional new self emp,*,91.5%,*,*,*,"77,000","84,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher professional traditional employee,84.2%,91.2%,7.0%,"30,200","35,900","1,362,200","1,493,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher professional traditional self emp,70.7%,93.4%,22.8%,"3,500","5,000","266,800","285,500"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Higher supervisory occupations,47.0%,86.9%,39.9%,"15,400","32,800","907,700","1,044,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Intermediate clerical and administrative,63.8%,81.9%,18.1%,"60,800","95,300","1,788,700","2,184,600"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Intermediate engineering,58.5%,90.0%,31.5%,"1,600","2,800","110,000","122,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Intermediate sales and service,59.5%,83.5%,24.1%,"32,500","54,500","1,008,700","1,207,400"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Intermediate technical and auxiliary,58.5%,84.1%,25.5%,"15,800","27,000","349,800","416,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Long-term unemployed,3.3%,1.7%,-1.5%,"2,400","72,800","9,200","529,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower managerial occupations,65.9%,89.2%,23.3%,"30,900","46,900","1,235,000","1,384,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower professional new employee,76.2%,91.1%,15.0%,"10,500","13,700","515,100","565,300"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower professional new self emp,58.3%,87.5%,29.2%,"2,700","4,600","87,800","100,300"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower professional traditional employee,69.4%,87.2%,17.8%,"93,700","135,000","3,389,400","3,887,300"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower professional traditional self emp,70.8%,90.5%,19.7%,"14,900","21,000","424,500","469,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower supervisory occupations,48.8%,84.3%,35.5%,"31,400","64,300","1,072,800","1,272,400"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower technical craft,61.9%,87.7%,25.8%,"21,000","34,000","718,900","819,700"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Lower technical process operative,52.6%,83.6%,31.0%,"2,900","5,500","99,400","118,900"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Never worked,1.9%,1.7%,-0.1%,"4,700","252,700","21,900","1,278,600"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Not classifiable for other reasons,1.1%,2.3%,1.3%,"5,800","547,400","41,400","1,772,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Not classified or inadequately stated,21.8%,44.6%,22.9%,"4,400","20,200","59,800","134,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Own account workers agriculture,*,96.7%,*,*,*,"78,500","81,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Own account workers non professional,70.8%,90.4%,19.6%,"64,400","90,900","1,937,500","2,142,900"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Routine agricultural,*,78.7%,*,*,*,"28,600","36,400"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Routine operative,43.6%,74.8%,31.2%,"43,500","100,000","893,200","1,194,300"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Routine production,35.8%,72.4%,36.6%,"8,600","24,100","235,100","325,000"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Routine sales and service,43.7%,70.2%,26.5%,"20,700","47,400","405,400","577,800"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Routine technical,33.0%,84.5%,51.5%,"13,200","40,000","690,700","817,500"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine agricultural,*,81.2%,*,*,*,"38,400","47,300"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine childcare,47.8%,82.1%,34.3%,"4,100","8,600","114,200","139,100"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine clerical,29.5%,78.2%,48.7%,"4,500","15,200","275,500","352,400"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine operative,50.0%,79.6%,29.6%,"8,700","17,300","286,400","360,000"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine sales,47.9%,74.6%,26.7%,"39,100","81,500","942,400","1,263,700"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine services,52.6%,78.9%,26.3%,"70,200","133,400","1,272,700","1,613,200"
2012,3,1/7/2012 to 30/9/2012,NS-SEC Category,Semi routine technical,34.7%,83.8%,49.1%,"7,200","20,800","243,500","290,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Employers in large organisations,*,93.4%,*,*,*,"38,800","41,500"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Employers in small orgs agriculture,*,97.7%,*,*,*,"32,400","33,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Employers in small orgs non-professional,58.0%,88.4%,30.4%,"7,400","12,700","343,400","388,400"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Full-time students,16.8%,30.5%,13.7%,"19,900","118,100","951,600","3,117,400"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher managerial occupations,69.9%,88.9%,19.1%,"10,100","14,500","873,900","982,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher professional new employee,81.4%,92.4%,11.0%,"16,500","20,300","1,076,100","1,165,200"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher professional new self emp,*,89.7%,*,*,*,"68,600","76,500"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher professional traditional employee,79.6%,91.5%,11.9%,"28,000","35,200","1,351,600","1,477,800"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher professional traditional self emp,73.0%,91.6%,18.6%,"5,800","8,000","259,100","282,900"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Higher supervisory occupations,55.1%,86.7%,31.6%,"17,800","32,300","900,200","1,038,900"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Intermediate clerical and administrative,56.6%,82.1%,25.5%,"52,800","93,400","1,814,500","2,211,200"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Intermediate engineering,68.1%,88.0%,19.8%,"3,200","4,600","103,700","117,900"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Intermediate sales and service,54.0%,85.3%,31.3%,"23,100","42,800","998,500","1,170,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Intermediate technical and auxiliary,64.2%,84.7%,20.5%,"13,000","20,300","323,200","381,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Long-term unemployed,*,2.4%,*,*,*,"13,000","550,800"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower managerial occupations,57.9%,89.2%,31.3%,"21,200","36,700","1,239,800","1,390,000"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower professional new employee,88.7%,90.4%,1.7%,"10,100","11,400","530,500","587,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower professional new self emp,*,88.4%,*,*,*,"73,200","82,800"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower professional traditional employee,67.9%,87.4%,19.5%,"92,900","136,800","3,341,200","3,821,300"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower professional traditional self emp,69.2%,89.1%,19.9%,"13,200","19,100","437,000","490,400"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower supervisory occupations,44.1%,84.2%,40.1%,"26,800","60,800","1,020,100","1,211,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower technical craft,51.9%,88.2%,36.3%,"13,100","25,300","713,400","808,600"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Lower technical process operative,66.7%,87.8%,21.1%,"4,800","7,200","97,100","110,600"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Never worked,2.6%,2.0%,-0.6%,"6,400","245,200","23,800","1,195,300"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Not classifiable for other reasons,0.6%,2.1%,1.5%,"3,200","529,900","36,300","1,759,600"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Not classified or inadequately stated,17.9%,39.3%,21.4%,"5,700","32,000","67,400","171,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Own account workers agriculture,*,95.1%,*,*,*,"89,700","94,400"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Own account workers non professional,66.1%,89.6%,23.5%,"59,900","90,600","1,884,700","2,104,300"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Routine agricultural,*,68.3%,*,*,*,"24,700","36,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Routine operative,42.9%,73.0%,30.1%,"45,700","106,400","862,800","1,181,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Routine production,33.2%,71.2%,38.0%,"7,600","22,900","234,400","329,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Routine sales and service,41.5%,71.0%,29.5%,"16,700","40,200","402,100","566,700"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Routine technical,29.2%,84.6%,55.5%,"11,300","38,900","683,900","808,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine agricultural,*,80.1%,*,*,*,"34,100","42,600"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine childcare,59.3%,84.5%,25.3%,"6,300","10,600","115,300","136,400"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine clerical,35.1%,75.0%,39.9%,"4,900","14,100","271,000","361,500"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine operative,40.8%,81.5%,40.8%,"8,700","21,300","300,600","368,800"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine sales,47.7%,73.5%,25.8%,"44,500","93,400","908,200","1,236,100"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine services,54.1%,78.9%,24.8%,"63,300","117,100","1,197,300","1,517,900"
2012,2,1/4/2012 to 30/6/2012,NS-SEC Category,Semi routine technical,27.2%,83.2%,56.0%,"4,900","18,100","239,600","287,800"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Employers in large organisations,*,94.2%,*,*,*,"37,500","39,800"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Employers in small orgs agriculture,*,100.0%,*,*,*,"31,900","31,900"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Employers in small orgs non-professional,61.4%,90.0%,28.7%,"7,900","12,800","346,200","384,500"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Full-time students,17.3%,28.9%,11.6%,"24,800","143,200","931,100","3,227,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher managerial occupations,69.1%,89.9%,20.8%,"11,800","17,000","865,200","962,000"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher professional new employee,84.4%,93.2%,8.8%,"16,700","19,800","1,098,700","1,179,500"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher professional new self emp,*,92.8%,*,*,*,"67,500","72,700"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher professional traditional employee,70.5%,90.6%,20.1%,"23,800","33,700","1,301,600","1,437,100"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher professional traditional self emp,86.2%,93.3%,7.1%,"6,700","7,800","268,100","287,300"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Higher supervisory occupations,55.6%,87.4%,31.8%,"21,500","38,700","877,000","1,003,300"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Intermediate clerical and administrative,55.9%,82.3%,26.4%,"46,000","82,400","1,839,000","2,233,700"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Intermediate engineering,61.5%,91.8%,30.3%,"2,600","4,200","120,200","131,000"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Intermediate sales and service,56.7%,84.0%,27.3%,"29,400","51,900","1,018,900","1,213,600"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Intermediate technical and auxiliary,59.9%,87.6%,27.7%,"11,500","19,300","346,000","394,800"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Long-term unemployed,*,2.4%,*,*,*,"13,100","553,800"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower managerial occupations,59.0%,87.6%,28.6%,"25,300","42,800","1,193,700","1,362,100"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower professional new employee,73.0%,90.9%,17.9%,"11,900","16,400","513,200","564,900"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower professional new self emp,*,87.4%,*,*,*,"65,700","75,100"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower professional traditional employee,72.0%,87.7%,15.6%,"90,800","126,100","3,397,400","3,875,600"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower professional traditional self emp,61.2%,89.7%,28.5%,"11,000","18,000","410,700","457,900"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower supervisory occupations,45.8%,85.1%,39.3%,"28,300","61,800","1,017,500","1,196,100"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower technical craft,48.2%,88.5%,40.3%,"12,600","26,100","693,000","783,100"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Lower technical process operative,85.5%,87.2%,1.7%,"3,700","4,300","97,700","112,000"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Never worked,0.9%,1.4%,0.5%,"2,300","255,200","15,800","1,141,600"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Not classifiable for other reasons,0.6%,2.0%,1.4%,"3,400","552,500","36,200","1,819,000"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Not classified or inadequately stated,6.9%,31.8%,24.9%,"2,900","41,400","70,300","221,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Own account workers agriculture,*,93.2%,*,*,*,"87,000","93,400"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Own account workers non professional,63.7%,89.1%,25.4%,"60,300","94,600","1,908,400","2,141,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Routine agricultural,*,67.4%,*,*,*,"25,800","38,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Routine operative,46.4%,72.7%,26.3%,"44,100","95,000","854,100","1,174,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Routine production,31.0%,70.7%,39.7%,"6,000","19,500","224,400","317,500"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Routine sales and service,30.8%,67.7%,36.9%,"11,300","36,600","374,600","553,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Routine technical,32.3%,84.2%,51.8%,"12,400","38,300","692,100","822,200"
2012,1,1/1/2012 to 31/3/2012,NS-SEC Category,Semi routine agricultural,*,84.3%,*,*,*,"36,100","42,800"
